artistId,geniusId,geniusSearchName
797875,Rémy,Rémy
36386,Ridsa,Ridsa
170851,Rilès,Rilès
2455,Rim’K,Rim’K
35463,Riski,Riski
639036,Rkomi,RK
2020,Rocca,Rocca
12191,Rocé (FRA),Rocé
2004,Rockin’ Squat,Rockin’ Squat
1908,Rohff,Rohff
126309,Rouda,Rouda
15237,Sadek,Sadek
1846,Salif,Salif
165628,Sir Samuel,Sir Samuel
31628,Sat l’Artificier,Sat l’Artificier
1221224,Sauveur Eloheem,Sauveur Eloheem
276476,SCH,Allô Maman
2398,Sefyu,Sefyu
18901,Shone,Shone d'Holocost
1967,Shurik’n,Shurik'N Chang-Ti
234809,Siboy,Siboy
1877,Sinik,Sinik
325073,Six,Six Coups MC
13508,Sneazzy,Sneazzy
646078,Soon E MC,Soon E MC
1431,Soprano,Soprano
147487,Soso Maness,Soso Maness
15330,S.Pri Noir,S.Pri Noir
16272,Still Fresh,Still Fresh
21052,Stomy Bugsy,Stomy Bugsy
6670,Sultan,Chez Wam
87464,Swagg Man,Swagg Man
40424,Iron Sy,Iron Sy
50894,Teki Latex,Teki Latex
546807,Tepa,Tepa
550244,TEPR,Tanguy Destable
963309,Timal,Timal
12437,TLF,TLF
647756,Martial Tricoche,Martial Tricoche
1250958,Tsew The Kid,Tsew The Kid
2248,Tunisiano,Tunisiano
671555,USKY,Usky
19217,Vald,Vald
18960,Vicelow,Vicelow
215059,Vincha,Vincha
6734,Wacko,Wacko
1052744,Nekfeu & Alpha Wann,Alpha Wann
46278,Yannick,Ces soirées-là
33292,Young Chang MC,Young Chang Mc
1684,Youssoupha,Youssoupha
12085,Sofiane,Fiansoman
11649,Zesau,Zesau
17296,Darryl Zeuja,Darryl Zeuja
1101709,Zola,Aurélien N'Zuzi Zola
11623,Zoxea,Zoxea
14415,A2H,A2H
11627,Malekal Morte,Malekal Morte
18542,Keroué,Keroué
18543,Vidji,Vidji
20192,Espiiem,Espiiem
235193,Sopico,Sopico
17454,Veerus,Veerus
25569,ISHA,Psmaker
17083,Carpe Diem,Carpe Diem
150401,Veust,Veust
21255,Krisy,Krisy
21398,Heskis,Heskis
14828,Jarod,Jarod
1883,Tiers,Tiers
13158,Swift Guad,Swift Guad
182217,Lacraps,Lacraps
1876,Mokless,Mokless
16503,Koriass,Koriass
24451,Gros Mo,Gros Mo
8444,Swing,Swing Siméon
1750,Despo Rutti,Despo Rutti
26628,Waltmann,Waltmann
13259,Doums,Doums
2168,Lalcko,Lalcko
38498,Senamo,Senamo
331657,So Clock,So Clock
17297,Fonky Flav’,Fonky Flav
655184,Senamo & Seyté,Seyté
14168,Taïpan,Taïpan
16030,Taïro,Taïro
77714,Spider ZED,Spider ZED
344346,Framal & Mekra,Framal
17080,Ladea,Ladea
25565,B-lel,B-lel
20281,Fayçal,Fayçal
128414,Primero,Primero
66752,Gracy Hopkins,Gracy Hopkins
655813,​luXe,Musical Homicide
41763,Davodka,Davodka
21314,Ynnek,Ynnek
12663,TiTo Prince,TiTo Prince
18035,Esso Luxueux,Esso Luxueux
498406,Oumar,Oumar
13325,Gims,Gims
36707,Barack Adama,Barack adama
2167,Escobar Macson,Escobar Macson
1907,Casey,Apprends à t’taire
41368,Eli Mc,Eli MC
30618,Tonio MC,Tonio MC
1010841,Kobo,Kobo
162014,Lesram,Lesram
94448,Makala,Makala
181176,Tengo John,Tengo John
60891,Di-Meh,Di-Meh
299788,Slimka,Slimka
67213,Zoonard,Zoonard
47260,Infinit’,Cigarette 2 Haine
151958,Akro,Mon Coca et mes nikes
22332,Baloji,Baloji
349874,Benny B,DJ d’enfer
639298,Caballero & JeanJass,Caballero
20626,James Deano,James Deano
998441,Soufiane Eddyani,Soufiane Eddyani
75161,Roméo Elvis,Roméo Elvis
74111,Hamza,Hamza
358099,Flip Kowlier,Flip Kowlier
454330,Mochélan,Mochélan
1104666,Uman,Original Uman
17103,Scylla,Scylla
483571,Slongs Dievanongs,Slongs Dievanongs
1484,Stromae,Stromae
454953,Kaye styles,Kaye Styles
45855,Damso,Damso
28578,2 Bal,2 Bal
1285728,4Keus,4Keus
30616,5 Majeur,5 majeur
327072,13 Block,13 Block
2014410,92i,92i
11574,113,113
12091,1995,1995
30448,Alliance Ethnik,Alliance Ethnik
81009,L’Animalerie,L’Animalerie
161768,L’Armée des 12,L’Armée des 12
13280,Ärsenik,Ärsenik
986194,Assassin (FRA),Assassin (FRA)
13279,L’Atelier,L’Atelier
15359,ATK,7ème sens
38074,Bass Click,Bass Click
1935,Beat de Boul,Beat de Boul
14388,Bigflo & Oli,Bigflo et Oli
329402,Bisso Na Bisso,Bisso Na Bisso
19398,La Boussole,La Boussole
16172,La Brigade,La Brigade
626307,Alkpote & Butter Bullets,Butter Bullets
18463,La Canaille,La Canaille
616736,Caribbean Dandee,Caribbean Dandee
29000,Carré rouge,Carré rouge
20190,Casseurs Flowters,Casseurs Flowters
13247,La Caution,La Caution
13248,Chiens de Paille,Chiens de paille
94667,La Cinquième Kolonne,La Cinquième Kolonne
54428,La Clinique,La Clinique
2061,La Cliqua,La Cliqua
121728,Démocrates D,Démocrates D
379959,Depth Affect,Depth Affect
18196,Dicidens,Dicidens
327448,Djadja & Dinaz,Djadja & Dinaz
258940,DSL,DSL
563477,DTF,DTF
13061,L’Entourage,L’Entourage
30736,Explicit Samouraï,Explicit Samouraï
11491,Expression Direkt,Expression Direkt
1152268,F430,F430
359284,Fabulous Trobadors,Fabulous Trobadors
480943,La fanfare en pétard,La Fanfare en pétard
16333,L’Skadrille,L’Skadrille
484118,Smokey Joe & The Kid,Smokey Joe & The Kid
1507,Sniper,Sniper
128867,Soul Swing,Soul Swing
317620,Les Spécialistes,Les Spécialistes
1611392,Spoke Orkestra,Spoke Orkestra
13866,Stupeflip,Stupeflip
24568,Suprême NTM,Suprême NTM
15879,Svinkels,Svinkels
256418,La Swija,La Swija
2200,Tandem,Tandem
144512,Team BS,Team BS
1098583,Therapie TAXI,Therapie Taxi
1014394,Time Bomb (FRA),Time Bomb
458078,Tout Simplement Noir,Tout simplement noir
156049,Tragédie,Tragédie
21184,Triptik,Triptik
15056,TSR Crew,TSR Crew
11471,TTC,TTC
54250,Unité 2 Feu,Unité 2 Feu
77499,XVBARBAR,XVBarbar
657510,Zweierpasch,Zweierpasch
1014948,Le 77,Le 77
15171,’T Hof Van Commerce,’T Hof Van Commerce
1073,Juicy J,Juicy
29896,Opak,OPAK
37257,La Smala,La Smala
61711,Starflam,Starflam
41460,Shay,Cruella
116959,Amandine du 38,Amandine du 38
1753,Keny Arkana,Keny Arkana
1119896,Bams (FRA),Bams (FRA)
5464,Chilla,Chilla
12061,Diam’s,Diam’s
1541444,Le Juiice,Le Juiice
2043020,Eloquence & Kayliah,Kayliah
14866,K-Reen,K-Reen
43764,Lady Laistee,Lady Laistee
659265,Meryl,Cindy Elismar
28869,Liza Monet,Liza Monet
174941,Princess Aniès,Princess Aniès
1048767,Saliha,Saliha
1562470,Sally,JFLA
1431214,Aloïse Sauvage,Aloïse Sauvage
41622,Sté Strausz,Sté Strausz
15588,Ana Tijoux,Ana Tijoux
13323,Wallen,Celle qui a dit non
