"word1","word2","n"
"eden","pattes",6
"el","matador",6
"entre","deux",6
"faire","feu",6
"faire","péter",6
"famille","amigo",6
"famille","loup",6
"fantastic","boombastick",6
"feuille","x2",6
"figue","mi",6
"flow","cainri",6
"grand","mère",6
"han","forcer",6
"hey","marianne",6
"hold","up",6
"ira","mieux",6
"j'aurais","voulu",6
"j'en","place",6
"j'kiffe","toute",6
"j'les","vois",6
"j'lui","dis",6
"j'me","souviens",6
"j'y","ai",6
"j’ai","pris",6
"jnouné","jnouné",6
"légumes","mi",6
"listen","to",6
"lune","poto",6
"m'en","bats",6
"m'rappellent","d'où",6
"mauvais","mauvais",6
"mêmes","rôles",6
"mi","figue",6
"mi","raisin",6
"midi","j'encaisse",6
"mister","gg",6
"mouillé","mouillé",6
"my","dick",6
"my","nigga",6
"nan","c’est",6
"ne","dit",6
"ne","va",6
"ne","vaut",6
"nitro","poto",6
"no","question",6
"nothing","like",6
"nulle","part",6
"ô","mama",6
"os","raconte",6
"oui","oui",6
"p","bibi",6
"pa","mi",6
"pa","pa",6
"paraît","qu'il",6
"part","d'ombre",6
"parti","loin",6
"pattes","d'ef",6
"perd","patience",6
"pleine","lune",6
"qu'on","bu",6
"qu'on","s'en",6
"qu'on","veut",6
"qu'un","jour",6
"qu'un","seul",6
"qu’on","pense",6
"quelque","part",6
"question","pay",6
"raisin","cure",6
"retro","nitro",6
"rien","n'est",6
"s","qu’on",6
"sha","sha",6
"soir","baby",6
"solution","aucune",6
"sommet","sommet",6
"spider","zed",6
"suis","qu'un",6
"t'sais","quoi",6
"temps","passe",6
"they","are",6
"this","this",6
"time","bomb",6
"together","wavy",6
"tomber","dessus",6
"toute","l'année",6
"toutes","nos",6
"va","vite",6
"very","bad",6
"veut","m'voir",6
"veux","mourir",6
"ville","they",6
"vitamine","dire",6
"voir","maybe",6
"wicked","my",6
"yeux","fermés",6
"you're","so",6
"yours","gonna",6
"12","ans",5
"16b","no",5
"20","piges",5
"30","piges",5
"360","360",5
"8","temps",5
"8000","km",5
"agbani","daddy",5
"aime","jusqu'a",5
"air","jordan",5
"ange","déchu",5
"anna","emoi",5
"as","it",5
"as","p",5
"aux","autres",5
"aux","petits",5
"bad","boys",5
"balla","gaye",5
"bavoog","avers",5
"befa","surprend",5
"belle","vie",5
"bitch","j't'entends",5
"body","gal",5
"c'que","j'fais",5
"c’est","ça",5
"ca","vient",5
"caméra","d’booska",5
"care","put",5
"casse","couilles",5
"cercle","vertueux",5
"cette","chanson",5
"cette","musique",5
"cette","ville",5
"chambre","froide",5
"claude","mc",5
"clic","clac",5
"clic","clic",5
"coeur","mouillé",5
"crois","qu'on",5
"cut","killer",5
"d'or","appelle",5
"d'une","famille",5
"d’booska","p",5
"daddy","dakun",5
"daddy","where",5
"dakun","pa",5
"demi","heure",5
"dès","lors",5
"deux","mains",5
"deux","pédés",5
"dick","is",5
"dix","huit",5
"dreams","in",5
"excitin","gutto",5
"exta","exta",5
"fais","quoi",5
"ferme","l'esprit",5
"finisse","ensemble",5
"fiou","fiou",5
"genie","in",5
"genius","france",5
"ghetto","fab",5
"gifle","appuie",5
"got","it",5
"grosse","équipe",5
"grosse","tête",5
"gutto","go",5
"heures","36",5
"hun","ha",5
"in","disguise",5
"j'aime","bien",5
"j'aimerais","dire",5
"j'en","connais",5
"j'kiff","toute",5
"j'le","souligne",5
"j'lui","donne",5
"j'me","fous",5
"j'te","laisse",5
"j'te","met",5
"j'vais","sortir",5
"j'veux","voir",5
"j’ai","choisi",5
"j’ai","trouvé",5
"j’en","ai",5
"j’me","dis",5
"j’me","sens",5
"jamais","assez",5
"jolie","jolie",5
"kevin","spacey",5
"kool","shen",5
"l'an","2020",5
"l'esprit","navigue",5
"lever","tôt",5
"lui","faire",5
"made","in",5
"main","droite",5
"mash","up",5
"mess","bass",5
"mi","daddy",5
"mieux","demain",5
"monde","veut",5
"my","dreams",5
"my","god",5
"n'est","jamais",5
"ne","connais",5
"ne","pourra",5
"ne","reste",5
"nigga","follow",5
"nos","rimes",5
"nos","souvenirs",5
"nouvel","album",5
"nuits","blanches",5
"numéro","1",5
"paraît","pourri",5
"parle","mal",5
"parles","mal",5
"pauvre","con",5
"pense","qu'a",5
"per","ra",5
"petits","frères",5
"pire","cauchemar",5
"pop","pop",5
"put","my",5
"qu'il","était",5
"qu'on","appelle",5
"qu'on","finisse",5
"qu'on","vit",5
"qu'tu","sois",5
"quoi","quoi",5
"rap","conscient",5
"re","frè",5
"sais","qu'on",5
"sale","vie",5
"see","agbani",5
"see","your",5
"seth","gueko",5
"six","mois",5
"so","excitin",5
"soires","l",5
"suis","jamais",5
"suis","seul",5
"tant","qu'on",5
"toute","façon",5
"um","ala",5
"va","venir",5
"va","voir",5
"vas","voir",5
"veut","faire",5
"veut","savoir",5
"vie","c’est",5
"viens","voir",5
"wanna","it",5
"where","your",5
"xxx","xxx",5
"yo","yo",5
"0","bluff",4
"1","2",4
"10","000",4
"13","énervé",4
"13","organisé",4
"187","flow",4
"2","minutes",4
"29","septembre",4
"3","4",4
"34","degrés",4
"360","34",4
"6","mois",4
"8","ans",4
"9.3","9.4",4
"9.4","code",4
"ai","pris",4
"ainsi","soit",4
"ala","ala",4
"allez","courez",4
"amigo","hé",4
"ana","emoi",4
"ana","liouma",4
"après","midi",4
"are","comes",4
"as","jamais",4
"atk","authentiques",4
"aucun","mytho",4
"aucun","progrès",4
"aux","enfants",4
"aux","fesses",4
"aux","jeunes",4
"aux","miens",4
"aux","paroles",4
"aux","platines",4
"aux","yeux",4
"ave","maria",4
"baby","10h",4
"baby","no",4
